"state","year","income"
"Minnesota",2003,"52,823"
"Mississippi",2003,"32,728"
"Missouri",2003,"43,762"
"Montana",2003,"34,108"
"Nebraska",2003,"43,974"
"Nevada",2003,"45,184"
"New Hampshire",2003,"55,567"
"New Jersey",2003,"56,045"
"New Mexico",2003,"35,105"
"New York",2003,"42,788"
"North Carolina",2003,"37,279"
"North Dakota",2003,"40,410"
"Ohio",2003,"43,520"
"Oklahoma",2003,"35,902"
"Oregon",2003,"41,638"
"Pennsylvania",2003,"42,933"
"Rhode Island",2003,"44,711"
"South Carolina",2003,"38,479"
"South Dakota",2003,"39,522"
"Tennessee",2003,"37,523"
"Texas",2003,"39,271"
"Utah",2003,"49,275"
"Vermont",2003,"43,261"
"Virginia",2003,"54,783"
"Washington",2003,"47,508"
"West Virginia",2003,"32,763"
"Wisconsin",2003,"46,269"
"Wyoming",2003,"42,555"
"United States",2002,"42,409"
"Alabama",2002,"37,603"
"Alaska",2002,"52,774"
"Arizona",2002,"39,734"
"Arkansas",2002,"32,387"
"California",2002,"47,437"
"Colorado",2002,"48,294"
"Connecticut",2002,"53,387"
"Delaware",2002,"49,650"
"District of Columbia",2002,"39,070"
"Florida",2002,"38,024"
"Georgia",2002,"42,939"
"Hawaii",2002,"47,303"
"Idaho",2002,"37,715"
"Illinois",2002,"42,710"
"Indiana",2002,"41,047"
"Iowa",2002,"41,049"
"Kansas",2002,"42,619"
"Kentucky",2002,"36,762"
"Louisiana",2002,"34,008"
"Maine",2002,"36,853"
"Maryland",2002,"56,407"
"Massachusetts",2002,"49,855"
"Michigan",2002,"42,715"
"Minnesota",2002,"54,622"
"Mississippi",2002,"30,882"
"Missouri",2002,"42,776"
"Montana",2002,"34,835"
"Nebraska",2002,"42,796"
"Nevada",2002,"44,958"
"New Hampshire",2002,"55,321"
"New Jersey",2002,"54,568"
"New Mexico",2002,"35,457"
"New York",2002,"41,966"
"North Carolina",2002,"36,515"
"North Dakota",2002,"36,200"
"Ohio",2002,"42,684"
"Oklahoma",2002,"36,458"
"Oregon",2002,"41,802"
"Pennsylvania",2002,"42,498"
"Rhode Island",2002,"42,417"
"South Carolina",2002,"37,812"
"South Dakota",2002,"37,873"
"Tennessee",2002,"37,030"
"Texas",2002,"40,149"
"Utah",2002,"47,861"
"Vermont",2002,"42,999"
"Virginia",2002,"49,631"
"Washington",2002,"45,183"
"West Virginia",2002,"29,359"
"Wisconsin",2002,"45,903"
"Wyoming",2002,"39,763"
"United States",2001,"42,228"
"Alabama",2001,"35,160"
"Alaska",2001,"57,363"
"Arizona",2001,"42,704"
"Arkansas",2001,"33,339"
"California",2001,"47,262"
"Colorado",2001,"49,397"
"Connecticut",2001,"53,347"
"Delaware",2001,"49,602"
"District of Columbia",2001,"41,169"
"Florida",2001,"36,421"
"Georgia",2001,"42,576"
"Hawaii",2001,"47,439"
"Idaho",2001,"38,241"
"Illinois",2001,"46,171"
"Indiana",2001,"40,379"
"Iowa",2001,"40,976"
"Kansas",2001,"41,415"
"Kentucky",2001,"38,437"
"Louisiana",2001,"33,322"
"Maine",2001,"36,612"
"Maryland",2001,"53,530"
"Massachusetts",2001,"52,253"
"Michigan",2001,"45,047"
"Minnesota",2001,"52,681"
"Mississippi",2001,"30,161"
"Missouri",2001,"41,339"
"Montana",2001,"32,126"
"Nebraska",2001,"43,611"
"Nevada",2001,"45,403"
"New Hampshire",2001,"51,331"
"New Jersey",2001,"51,771"
"New Mexico",2001,"33,124"
"New York",2001,"42,114"
"North Carolina",2001,"38,162"
"North Dakota",2001,"35,793"
"Ohio",2001,"41,785"
"Oklahoma",2001,"35,609"
"Oregon",2001,"41,273"
"Pennsylvania",2001,"43,499"
"Rhode Island",2001,"45,723"
"South Carolina",2001,"37,736"
"South Dakota",2001,"39,671"
"Tennessee",2001,"35,783"
"Texas",2001,"40,860"
"Utah",2001,"47,342"
"Vermont",2001,"40,794"
"Virginia",2001,"50,241"
"Washington",2001,"42,490"
"West Virginia",2001,"29,673"
"Wisconsin",2001,"45,346"
"Wyoming",2001,"39,719"
"United States",2000,"41,990"
"Alabama",2000,"35,424"
"Alaska",2000,"52,847"
"Arizona",2000,"39,783"
"Arkansas",2000,"29,697"
"California",2000,"46,816"
"Colorado",2000,"48,240"
"Connecticut",2000,"50,172"
"Delaware",2000,"50,365"
"District of Columbia",2000,"41,222"
"Florida",2000,"38,856"
"Georgia",2000,"41,901"
"Hawaii",2000,"51,546"
"Idaho",2000,"37,611"
"Illinois",2000,"46,064"
"Indiana",2000,"40,865"
"Iowa",2000,"40,991"
"Kansas",2000,"41,059"
"Kentucky",2000,"36,265"
"Louisiana",2000,"30,718"
"Maine",2000,"37,266"
"Maryland",2000,"54,535"
"Massachusetts",2000,"46,753"
"Michigan",2000,"45,512"
"Minnesota",2000,"54,251"
"Mississippi",2000,"34,299"
"Missouri",2000,"45,097"
"Montana",2000,"32,777"
"Nebraska",2000,"41,750"
"Nevada",2000,"45,758"
"New Hampshire",2000,"50,926"
"New Jersey",2000,"50,405"
"New Mexico",2000,"35,093"
"New York",2000,"40,744"
"North Carolina",2000,"38,317"
"North Dakota",2000,"35,996"
"Ohio",2000,"42,962"
"Oklahoma",2000,"32,432"
"Oregon",2000,"42,499"
"Pennsylvania",2000,"42,176"
"Rhode Island",2000,"42,197"
"South Carolina",2000,"37,570"
"South Dakota",2000,"36,475"
"Tennessee",2000,"34,096"
"Texas",2000,"38,609"
"Utah",2000,"47,550"
"Vermont",2000,"39,594"
"Virginia",2000,"47,163"
"Washington",2000,"42,525"
"West Virginia",2000,"29,411"
"Wisconsin",2000,"45,088"
"Wyoming",2000,"39,629"
"United States",1999,"40,696"
"Alabama",1999,"36,251"
"Alaska",1999,"51,396"
"Arizona",1999,"36,995"
"Arkansas",1999,"29,682"
"California",1999,"43,629"
"Colorado",1999,"48,177"
"Connecticut",1999,"50,593"
"Delaware",1999,"46,628"
"District of Columbia",1999,"38,670"
"Florida",1999,"35,831"
"Georgia",1999,"39,425"
"Hawaii",1999,"44,504"
"Idaho",1999,"35,800"
"Illinois",1999,"46,330"
"Indiana",1999,"40,838"
"Iowa",1999,"41,098"
"Kansas",1999,"37,348"
"Kentucky",1999,"33,738"
"Louisiana",1999,"32,654"
"Maine",1999,"38,862"
"Maryland",1999,"52,205"
"Massachusetts",1999,"44,005"
"Michigan",1999,"46,089"
"Minnesota",1999,"47,038"
"Mississippi",1999,"32,478"
"Missouri",1999,"41,383"
"Montana",1999,"31,038"
"Nebraska",1999,"38,626"
"Nevada",1999,"41,461"
"New Hampshire",1999,"46,055"
"New Jersey",1999,"49,734"
"New Mexico",1999,"32,574"
"New York",1999,"39,989"
"North Carolina",1999,"37,254"
"North Dakota",1999,"32,663"
"Ohio",1999,"39,489"
"Oklahoma",1999,"32,683"
"Oregon",1999,"40,619"
"Pennsylvania",1999,"37,758"
"Rhode Island",1999,"42,719"
"South Carolina",1999,"36,462"
"South Dakota",1999,"35,828"
"Tennessee",1999,"36,522"
"Texas",1999,"38,688"
"Utah",1999,"46,050"
"Vermont",1999,"41,584"
"Virginia",1999,"45,693"
"Washington",1999,"45,473"
"West Virginia",1999,"29,297"
"Wisconsin",1999,"45,667"
"Wyoming",1999,"37,248"
"United States",1998,"38,885"
"Alabama",1998,"36,266"
"Alaska",1998,"50,692"
"Arizona",1998,"37,090"
"Arkansas",1998,"27,665"
"California",1998,"40,934"
"Colorado",1998,"46,599"
"Connecticut",1998,"46,508"
"Delaware",1998,"41,458"
"District of Columbia",1998,"33,433"
"Florida",1998,"34,909"
"Georgia",1998,"38,665"
"Hawaii",1998,"40,827"
"Idaho",1998,"36,680"
"Illinois",1998,"43,178"
"Indiana",1998,"39,731"
"Iowa",1998,"37,019"
"Kansas",1998,"36,711"
"Kentucky",1998,"36,252"
"Louisiana",1998,"31,735"
"Maine",1998,"35,640"
"Maryland",1998,"50,016"
"Massachusetts",1998,"42,345"
"Michigan",1998,"41,821"
"Minnesota",1998,"47,926"
"Mississippi",1998,"29,120"
"Missouri",1998,"40,201"
"Montana",1998,"31,577"
"Nebraska",1998,"36,413"
"Nevada",1998,"39,756"
"New Hampshire",1998,"44,958"
"New Jersey",1998,"49,826"
"New Mexico",1998,"31,543"
"New York",1998,"37,394"
"North Carolina",1998,"35,838"
"North Dakota",1998,"30,304"
"Ohio",1998,"38,925"
"Oklahoma",1998,"33,727"
"Oregon",1998,"39,067"
"Pennsylvania",1998,"39,015"
"Rhode Island",1998,"40,686"
"South Carolina",1998,"33,267"
"South Dakota",1998,"32,786"
"Tennessee",1998,"34,091"
"Texas",1998,"35,783"
"Utah",1998,"44,299"
"Vermont",1998,"39,372"
"Virginia",1998,"43,354"
"Washington",1998,"47,421"
"West Virginia",1998,"26,704"
"Wisconsin",1998,"41,327"
"Wyoming",1998,"35,250"
"United States",1997,"37,005"
"Alabama",1997,"31,939"
"Alaska",1997,"47,994"
"Arizona",1997,"32,740"
"Arkansas",1997,"26,162"
"California",1997,"39,694"
"Colorado",1997,"43,233"
"Connecticut",1997,"43,985"
"Delaware",1997,"43,033"
"District of Columbia",1997,"31,860"
"Florida",1997,"32,455"
"Georgia",1997,"36,663"
"Hawaii",1997,"40,934"
"Idaho",1997,"33,404"
"Illinois",1997,"41,283"
"Indiana",1997,"38,889"
"Iowa",1997,"33,783"
"Kansas",1997,"36,471"
"Kentucky",1997,"33,452"
"Louisiana",1997,"33,260"
"Maine",1997,"32,772"
"Maryland",1997,"46,685"
"Massachusetts",1997,"42,023"
"Michigan",1997,"38,742"
"Minnesota",1997,"42,564"
"Mississippi",1997,"28,499"
"Missouri",1997,"36,553"
"Montana",1997,"29,212"
"Nebraska",1997,"34,692"
"Nevada",1997,"38,854"
"New Hampshire",1997,"40,998"
"New Jersey",1997,"48,021"
"New Mexico",1997,"30,086"
"New York",1997,"35,798"
"North Carolina",1997,"35,840"
"North Dakota",1997,"31,661"
"Ohio",1997,"36,134"
"Oklahoma",1997,"31,351"
"Oregon",1997,"37,247"
"Pennsylvania",1997,"37,517"
"Rhode Island",1997,"34,797"
"South Carolina",1997,"34,262"
"South Dakota",1997,"29,694"
"Tennessee",1997,"30,636"
"Texas",1997,"35,075"
"Utah",1997,"42,775"
"Vermont",1997,"35,053"
"Virginia",1997,"42,957"
"Washington",1997,"44,562"
"West Virginia",1997,"27,488"
"Wisconsin",1997,"39,595"
"Wyoming",1997,"33,423"
"United States",1996,"35,492"
"Alabama",1996,"30,302"
"Alaska",1996,"52,779"
"Arizona",1996,"31,637"
"Arkansas",1996,"27,123"
"California",1996,"38,812"
"Colorado",1996,"40,950"
"Connecticut",1996,"42,119"
"Delaware",1996,"39,309"
"District of Columbia",1996,"31,966"
"Florida",1996,"30,641"
"Georgia",1996,"32,496"
"Hawaii",1996,"41,772"
"Idaho",1996,"34,709"
"Illinois",1996,"39,554"
"Indiana",1996,"35,147"
"Iowa",1996,"33,209"
"Kansas",1996,"32,585"
"Kentucky",1996,"32,413"
"Louisiana",1996,"30,262"
"Maine",1996,"34,696"
"Maryland",1996,"43,993"
"Massachusetts",1996,"39,494"
"Michigan",1996,"39,225"
"Minnesota",1996,"40,991"
"Mississippi",1996,"26,677"
"Missouri",1996,"34,265"
"Montana",1996,"28,684"
"Nebraska",1996,"34,014"
"Nevada",1996,"38,540"
"New Hampshire",1996,"39,407"
"New Jersey",1996,"47,468"
"New Mexico",1996,"25,086"
"New York",1996,"35,410"
"North Carolina",1996,"35,601"
"North Dakota",1996,"31,470"
"Ohio",1996,"34,070"
"Oklahoma",1996,"27,437"
"Oregon",1996,"35,492"
"Pennsylvania",1996,"34,899"
"Rhode Island",1996,"36,986"
"South Carolina",1996,"34,665"
"South Dakota",1996,"29,526"
"Tennessee",1996,"30,790"
"Texas",1996,"33,072"
"Utah",1996,"37,038"
"Vermont",1996,"32,358"
"Virginia",1996,"39,211"
"Washington",1996,"36,676"
"West Virginia",1996,"25,247"
"Wisconsin",1996,"40,001"
"Wyoming",1996,"30,953"
"United States",1995,"34,076"
"Alabama",1995,"25,991"
"Alaska",1995,"47,954"
"Arizona",1995,"30,863"
"Arkansas",1995,"25,814"
"California",1995,"37,009"
"Colorado",1995,"40,706"
"Connecticut",1995,"40,243"
"Delaware",1995,"34,928"
"District of Columbia",1995,"30,748"
"Florida",1995,"29,745"
"Georgia",1995,"34,099"
"Hawaii",1995,"42,851"
"Idaho",1995,"32,676"
"Illinois",1995,"38,071"
"Indiana",1995,"33,385"
"Iowa",1995,"35,519"
"Kansas",1995,"30,341"
"Kentucky",1995,"29,810"
"Louisiana",1995,"27,949"
"Maine",1995,"33,858"
"Maryland",1995,"41,041"
"Massachusetts",1995,"38,574"
"Michigan",1995,"36,426"
"Minnesota",1995,"37,933"
"Mississippi",1995,"26,538"
"Missouri",1995,"34,825"
"Montana",1995,"27,757"
"Nebraska",1995,"32,929"
"Nevada",1995,"36,084"
"New Hampshire",1995,"39,171"
"New Jersey",1995,"43,924"
"New Mexico",1995,"25,991"
"New York",1995,"33,028"
"North Carolina",1995,"31,979"
"North Dakota",1995,"29,089"
"Ohio",1995,"34,941"
"Oklahoma",1995,"26,311"
"Oregon",1995,"36,374"
"Pennsylvania",1995,"34,524"
"Rhode Island",1995,"35,359"
"South Carolina",1995,"29,071"
"South Dakota",1995,"29,578"
"Tennessee",1995,"29,015"
"Texas",1995,"32,039"
"Utah",1995,"36,480"
"Vermont",1995,"33,824"
"Virginia",1995,"36,222"
"Washington",1995,"35,568"
"West Virginia",1995,"24,880"
"Wisconsin",1995,"40,955"
"Wyoming",1995,"31,529"
"United States",1994,"32,264"
"Alabama",1994,"27,196"
"Alaska",1994,"45,367"
"Arizona",1994,"31,293"
"Arkansas",1994,"25,565"
"California",1994,"35,331"
"Colorado",1994,"37,833"
"Connecticut",1994,"41,097"
"Delaware",1994,"35,873"
"District of Columbia",1994,"30,116"
"Florida",1994,"29,294"
"Georgia",1994,"31,467"
"Hawaii",1994,"42,255"
"Idaho",1994,"31,536"
"Illinois",1994,"35,081"
"Indiana",1994,"27,858"
"Iowa",1994,"33,079"
"Kansas",1994,"28,322"
"Kentucky",1994,"26,595"
"Louisiana",1994,"25,676"
"Maine",1994,"30,316"
"Maryland",1994,"39,198"
"Massachusetts",1994,"40,500"
"Michigan",1994,"35,284"
"Minnesota",1994,"33,644"
"Mississippi",1994,"25,400"
"Missouri",1994,"30,190"
"Montana",1994,"27,631"
"Nebraska",1994,"31,794"
"Nevada",1994,"35,871"
"New Hampshire",1994,"35,245"
"New Jersey",1994,"42,280"
"New Mexico",1994,"26,905"
"New York",1994,"31,899"
"North Carolina",1994,"30,114"
"North Dakota",1994,"28,278"
"Ohio",1994,"31,855"
"Oklahoma",1994,"26,991"
"Oregon",1994,"31,456"
"Pennsylvania",1994,"32,066"
"Rhode Island",1994,"31,928"
"South Carolina",1994,"29,846"
"South Dakota",1994,"29,733"
"Tennessee",1994,"28,639"
"Texas",1994,"30,755"
"Utah",1994,"35,716"
"Vermont",1994,"35,802"
"Virginia",1994,"37,647"
"Washington",1994,"33,533"
"West Virginia",1994,"23,564"
"Wisconsin",1994,"35,388"
"Wyoming",1994,"33,140"
"United States",1993,"31,241"
"Alabama",1993,"25,082"
"Alaska",1993,"42,931"
"Arizona",1993,"30,510"
"Arkansas",1993,"23,039"
"California",1993,"34,073"
"Colorado",1993,"34,488"
"Connecticut",1993,"39,516"
"Delaware",1993,"36,064"
"District of Columbia",1993,"27,304"
"Florida",1993,"28,550"
"Georgia",1993,"31,663"
"Hawaii",1993,"42,662"
"Idaho",1993,"31,010"
"Illinois",1993,"32,857"
"Indiana",1993,"29,475"
"Iowa",1993,"28,663"
"Kansas",1993,"29,770"
"Kentucky",1993,"24,376"
"Louisiana",1993,"26,312"
"Maine",1993,"27,438"
"Maryland",1993,"39,939"
"Massachusetts",1993,"37,064"
"Michigan",1993,"32,662"
"Minnesota",1993,"33,682"
"Mississippi",1993,"22,191"
"Missouri",1993,"28,682"
"Montana",1993,"26,470"
"Nebraska",1993,"31,008"
"Nevada",1993,"35,814"
"New Hampshire",1993,"37,964"
"New Jersey",1993,"40,500"
"New Mexico",1993,"26,758"
"New York",1993,"31,697"
"North Carolina",1993,"28,820"
"North Dakota",1993,"28,118"
"Ohio",1993,"31,285"
"Oklahoma",1993,"26,260"
"Oregon",1993,"33,138"
"Pennsylvania",1993,"30,995"
"Rhode Island",1993,"33,509"
"South Carolina",1993,"26,053"
"South Dakota",1993,"27,737"
"Tennessee",1993,"25,102"
"Texas",1993,"28,727"
"Utah",1993,"35,786"
"Vermont",1993,"31,065"
"Virginia",1993,"36,433"
"Washington",1993,"35,655"
"West Virginia",1993,"22,421"
"Wisconsin",1993,"31,766"
"Wyoming",1993,"29,442"
"United States",1992,"30,636"
"Alabama",1992,"25,808"
"Alaska",1992,"41,802"
"Arizona",1992,"29,358"
"Arkansas",1992,"23,882"
"California",1992,"34,903"
"Colorado",1992,"32,484"
"Connecticut",1992,"40,841"
"Delaware",1992,"35,678"
"District of Columbia",1992,"30,247"
"Florida",1992,"27,349"
"Georgia",1992,"28,797"
"Hawaii",1992,"42,113"
"Idaho",1992,"27,704"
"Illinois",1992,"31,551"
"Indiana",1992,"28,530"
"Iowa",1992,"28,743"
"Kansas",1992,"30,346"
"Kentucky",1992,"23,485"
"Louisiana",1992,"25,439"
"Maine",1992,"29,617"
"Maryland",1992,"37,203"
"Massachusetts",1992,"36,359"
"Michigan",1992,"32,267"
"Minnesota",1992,"30,981"
"Mississippi",1992,"20,570"
"Missouri",1992,"27,361"
"Montana",1992,"26,525"
"Nebraska",1992,"30,048"
"Nevada",1992,"31,908"
"New Hampshire",1992,"39,436"
"New Jersey",1992,"39,000"
"New Mexico",1992,"25,860"
"New York",1992,"31,051"
"North Carolina",1992,"27,771"
"North Dakota",1992,"26,959"
"Ohio",1992,"31,404"
"Oklahoma",1992,"25,284"
"Oregon",1992,"31,927"
"Pennsylvania",1992,"29,882"
"Rhode Island",1992,"30,432"
"South Carolina",1992,"27,578"
"South Dakota",1992,"26,259"
"Tennessee",1992,"24,318"
"Texas",1992,"27,953"
"Utah",1992,"34,251"
"Vermont",1992,"32,755"
"Virginia",1992,"38,198"
"Washington",1992,"33,900"
"West Virginia",1992,"20,271"
"Wisconsin",1992,"33,308"
"Wyoming",1992,"30,209"
"United States",1991,"30,126"
"Alabama",1991,"24,346"
"Alaska",1991,"40,612"
"Arizona",1991,"30,737"
"Arkansas",1991,"23,435"
"California",1991,"33,664"
"Colorado",1991,"31,499"
"Connecticut",1991,"42,154"
"Delaware",1991,"32,585"
"District of Columbia",1991,"29,885"
"Florida",1991,"27,252"
"Georgia",1991,"27,212"
"Hawaii",1991,"37,246"
"Idaho",1991,"26,116"
"Illinois",1991,"31,884"
"Indiana",1991,"27,089"
"Iowa",1991,"28,553"
"Kansas",1991,"29,295"
"Kentucky",1991,"23,764"
"Louisiana",1991,"25,299"
"Maine",1991,"27,868"
"Maryland",1991,"36,952"
"Massachusetts",1991,"35,714"
"Michigan",1991,"32,117"
"Minnesota",1991,"29,479"
"Mississippi",1991,"19,475"
"Missouri",1991,"27,926"
"Montana",1991,"24,827"
"Nebraska",1991,"29,549"
"Nevada",1991,"32,937"
"New Hampshire",1991,"36,032"
"New Jersey",1991,"40,049"
"New Mexico",1991,"26,540"
"New York",1991,"31,794"
"North Carolina",1991,"26,853"
"North Dakota",1991,"25,892"
"Ohio",1991,"29,790"
"Oklahoma",1991,"25,462"
"Oregon",1991,"30,190"
"Pennsylvania",1991,"30,367"
"Rhode Island",1991,"30,836"
"South Carolina",1991,"27,463"
"South Dakota",1991,"24,639"
"Tennessee",1991,"24,453"
"Texas",1991,"27,733"
"Utah",1991,"28,016"
"Vermont",1991,"29,155"
"Virginia",1991,"36,137"
"Washington",1991,"33,970"
"West Virginia",1991,"23,147"
"Wisconsin",1991,"31,133"
"Wyoming",1991,"29,050"
"United States",1990,"29,943"
"Alabama",1990,"23,357"
"Alaska",1990,"39,298"
"Arizona",1990,"29,224"
"Arkansas",1990,"22,786"
"California",1990,"33,290"
"Colorado",1990,"30,733"
"Connecticut",1990,"38,870"
"Delaware",1990,"30,804"
"District of Columbia",1990,"27,392"
"Florida",1990,"26,685"
"Georgia",1990,"27,561"
"Hawaii",1990,"38,921"
"Idaho",1990,"25,305"
"Illinois",1990,"32,542"
"Indiana",1990,"26,928"
"Iowa",1990,"27,288"
"Kansas",1990,"29,917"
"Kentucky",1990,"24,780"
"Louisiana",1990,"22,405"
"Maine",1990,"27,464"
"Maryland",1990,"38,857"
"Massachusetts",1990,"36,247"
"Michigan",1990,"29,937"
"Minnesota",1990,"31,465"
"Mississippi",1990,"20,178"
"Missouri",1990,"27,332"
"Montana",1990,"23,375"
"Nebraska",1990,"27,482"
"Nevada",1990,"32,023"
"New Hampshire",1990,"40,805"
"New Jersey",1990,"38,734"
"New Mexico",1990,"25,039"
"New York",1990,"31,591"
"North Carolina",1990,"26,329"
"North Dakota",1990,"25,264"
"Ohio",1990,"30,013"
"Oklahoma",1990,"24,384"
"Oregon",1990,"29,281"
"Pennsylvania",1990,"29,005"
"Rhode Island",1990,"31,968"
"South Carolina",1990,"28,735"
"South Dakota",1990,"24,571"
"Tennessee",1990,"22,592"
"Texas",1990,"28,228"
"Utah",1990,"30,142"
"Vermont",1990,"31,098"
"Virginia",1990,"35,073"
"Washington",1990,"32,112"
"West Virginia",1990,"22,137"
"Wisconsin",1990,"30,711"
"Wyoming",1990,"29,460"
"United States",1989,"28,906"
"Alabama",1989,"21,284"
"Alaska",1989,"36,006"
"Arizona",1989,"28,552"
"Arkansas",1989,"21,433"
"California",1989,"33,009"
"Colorado",1989,"26,806"
"Connecticut",1989,"42,321"
"Delaware",1989,"32,068"
"District of Columbia",1989,"26,752"
"Florida",1989,"26,085"
"Georgia",1989,"27,542"
"Hawaii",1989,"35,035"
"Idaho",1989,"24,654"
"Illinois",1989,"31,300"
"Indiana",1989,"25,898"
"Iowa",1989,"26,265"
"Kansas",1989,"26,862"
"Kentucky",1989,"23,283"
"Louisiana",1989,"22,861"
"Maine",1989,"28,221"
"Maryland",1989,"36,016"
"Massachusetts",1989,"36,086"
"Michigan",1989,"30,775"
"Minnesota",1989,"30,185"
"Mississippi",1989,"19,917"
"Missouri",1989,"26,497"
"Montana",1989,"23,692"
"Nebraska",1989,"26,319"
"Nevada",1989,"29,340"
"New Hampshire",1989,"37,532"
"New Jersey",1989,"39,120"
"New Mexico",1989,"22,602"
"New York",1989,"31,496"
"North Carolina",1989,"26,406"
"North Dakota",1989,"25,229"
"Ohio",1989,"29,021"
"Oklahoma",1989,"23,667"
"Oregon",1989,"28,529"
"Pennsylvania",1989,"28,690"
"Rhode Island",1989,"30,124"
"South Carolina",1989,"23,798"
"South Dakota",1989,"24,108"
"Tennessee",1989,"22,611"
"Texas",1989,"25,886"
"Utah",1989,"30,717"
"Vermont",1989,"31,295"
"Virginia",1989,"34,118"
"Washington",1989,"31,961"
"West Virginia",1989,"21,677"
"Wisconsin",1989,"29,123"
"Wyoming",1989,"29,521"
"United States",1988,"27,225"
"Alabama",1988,"19,948"
"Alaska",1988,"33,103"
"Arizona",1988,"26,435"
"Arkansas",1988,"20,172"
"California",1988,"30,287"
"Colorado",1988,"26,214"
"Connecticut",1988,"36,213"
"Delaware",1988,"30,505"
"District of Columbia",1988,"26,741"
"Florida",1988,"25,406"
"Georgia",1988,"26,566"
"Hawaii",1988,"33,024"
"Idaho",1988,"23,450"
"Illinois",1988,"29,524"
"Indiana",1988,"26,293"
"Iowa",1988,"24,305"
"Kansas",1988,"25,566"
"Kentucky",1988,"19,907"
"Louisiana",1988,"20,497"
"Maine",1988,"26,402"
"Maryland",1988,"36,552"
"Massachusetts",1988,"33,213"
"Michigan",1988,"29,472"
"Minnesota",1988,"29,087"
"Mississippi",1988,"18,166"
"Missouri",1988,"23,443"
"Montana",1988,"22,231"
"Nebraska",1988,"25,159"
"Nevada",1988,"27,983"
"New Hampshire",1988,"34,625"
"New Jersey",1988,"36,287"
"New Mexico",1988,"19,296"
"New York",1988,"28,915"
"North Carolina",1988,"24,415"
"North Dakota",1988,"24,092"
"Ohio",1988,"27,740"
"Oklahoma",1988,"23,667"
"Oregon",1988,"27,748"
"Pennsylvania",1988,"26,742"
"Rhode Island",1988,"29,842"
"South Carolina",1988,"25,533"
"South Dakota",1988,"22,294"
"Tennessee",1988,"20,856"
"Texas",1988,"24,963"
"Utah",1988,"26,313"
"Vermont",1988,"28,988"
"Virginia",1988,"32,648"
"Washington",1988,"32,327"
"West Virginia",1988,"19,353"
"Wisconsin",1988,"29,575"
"Wyoming",1988,"26,419"
"United States",1987,"26,061"
"Alabama",1987,"19,734"
"Alaska",1987,"33,233"
"Arizona",1987,"26,749"
"Arkansas",1987,"18,827"
"California",1987,"30,146"
"Colorado",1987,"26,476"
"Connecticut",1987,"32,862"
"Delaware",1987,"29,244"
"District of Columbia",1987,"27,455"
"Florida",1987,"24,489"
"Georgia",1987,"26,714"
"Hawaii",1987,"35,022"
"Idaho",1987,"20,755"
"Illinois",1987,"27,084"
"Indiana",1987,"22,519"
"Iowa",1987,"22,190"
"Kansas",1987,"25,583"
"Kentucky",1987,"20,673"
"Louisiana",1987,"21,349"
"Maine",1987,"23,600"
"Maryland",1987,"34,970"
"Massachusetts",1987,"32,241"
"Michigan",1987,"27,702"
"Minnesota",1987,"28,082"
"Mississippi",1987,"18,513"
"Missouri",1987,"23,720"
"Montana",1987,"20,474"
"Nebraska",1987,"23,268"
"Nevada",1987,"26,878"
"New Hampshire",1987,"32,338"
"New Jersey",1987,"34,241"
"New Mexico",1987,"20,758"
"New York",1987,"26,384"
"North Carolina",1987,"22,760"
"North Dakota",1987,"22,576"
"Ohio",1987,"25,773"
"Oklahoma",1987,"21,691"
"Oregon",1987,"25,038"
"Pennsylvania",1987,"25,424"
"Rhode Island",1987,"28,292"
"South Carolina",1987,"25,049"
"South Dakota",1987,"21,151"
"Tennessee",1987,"21,179"
"Texas",1987,"24,721"
"Utah",1987,"26,529"
"Vermont",1987,"25,415"
"Virginia",1987,"29,996"
"Washington",1987,"27,319"
"West Virginia",1987,"17,207"
"Wisconsin",1987,"26,369"
"Wyoming",1987,"27,590"
"United States",1986,"24,897"
"Alabama",1986,"19,132"
"Alaska",1986,"31,356"
"Arizona",1986,"25,500"
"Arkansas",1986,"18,730"
"California",1986,"29,010"
"Colorado",1986,"27,192"
"Connecticut",1986,"32,721"
"Delaware",1986,"25,626"
"District of Columbia",1986,"24,322"
"Florida",1986,"22,849"
"Georgia",1986,"24,370"
"Hawaii",1986,"29,003"
"Idaho",1986,"20,749"
"Illinois",1986,"26,511"
"Indiana",1986,"22,728"
"Iowa",1986,"22,459"
"Kansas",1986,"23,926"
"Kentucky",1986,"19,874"
"Louisiana",1986,"20,890"
"Maine",1986,"23,424"
"Maryland",1986,"30,604"
"Massachusetts",1986,"30,339"
"Michigan",1986,"26,605"
"Minnesota",1986,"26,443"
"Mississippi",1986,"16,513"
"Missouri",1986,"21,925"
"Montana",1986,"20,328"
"Nebraska",1986,"21,772"
"Nevada",1986,"26,217"
"New Hampshire",1986,"30,548"
"New Jersey",1986,"31,715"
"New Mexico",1986,"19,845"
"New York",1986,"25,025"
"North Carolina",1986,"21,861"
"North Dakota",1986,"21,508"
"Ohio",1986,"25,115"
"Oklahoma",1986,"20,948"
"Oregon",1986,"24,773"
"Pennsylvania",1986,"23,807"
"Rhode Island",1986,"26,540"
"South Carolina",1986,"21,968"
"South Dakota",1986,"19,898"
"Tennessee",1986,"18,256"
"Texas",1986,"24,162"
"Utah",1986,"26,281"
"Vermont",1986,"24,599"
"Virginia",1986,"29,715"
"Washington",1986,"26,881"
"West Virginia",1986,"16,464"
