"state","year","income"
"Missouri",2017,"56,885"
"Montana",2017,"59,087"
"Nebraska",2017,"59,619"
"Nevada",2017,"56,550"
"New Hampshire",2017,"74,801"
"New Jersey",2017,"72,997"
"New Mexico",2017,"47,855"
"New York",2017,"62,447"
"North Carolina",2017,"50,343"
"North Dakota",2017,"59,886"
"Ohio",2017,"59,768"
"Oklahoma",2017,"55,006"
"Oregon",2017,"64,610"
"Pennsylvania",2017,"63,173"
"Rhode Island",2017,"66,390"
"South Carolina",2017,"54,971"
"South Dakota",2017,"56,894"
"Tennessee",2017,"55,240"
"Texas",2017,"59,295"
"Utah",2017,"71,319"
"Vermont",2017,"63,805"
"Virginia",2017,"71,293"
"Washington",2017,"75,418"
"West Virginia",2017,"45,392"
"Wisconsin",2017,"63,451"
"Wyoming",2017,"57,837"
"United States",2016,"59,039"
"Alabama",2016,"47,221"
"Alaska",2016,"75,723"
"Arizona",2016,"57,100"
"Arkansas",2016,"45,907"
"California",2016,"66,637"
"Colorado",2016,"70,566"
"Connecticut",2016,"75,923"
"Delaware",2016,"58,046"
"District of Columbia",2016,"70,982"
"Florida",2016,"51,176"
"Georgia",2016,"53,527"
"Hawaii",2016,"72,133"
"Idaho",2016,"56,564"
"Illinois",2016,"61,386"
"Indiana",2016,"56,094"
"Iowa",2016,"59,094"
"Kansas",2016,"56,810"
"Kentucky",2016,"45,369"
"Louisiana",2016,"42,196"
"Maine",2016,"50,856"
"Maryland",2016,"73,760"
"Massachusetts",2016,"72,266"
"Michigan",2016,"57,091"
"Minnesota",2016,"70,218"
"Mississippi",2016,"41,099"
"Missouri",2016,"55,016"
"Montana",2016,"57,075"
"Nebraska",2016,"59,374"
"Nevada",2016,"55,431"
"New Hampshire",2016,"76,260"
"New Jersey",2016,"68,468"
"New Mexico",2016,"48,451"
"New York",2016,"61,437"
"North Carolina",2016,"53,764"
"North Dakota",2016,"60,184"
"Ohio",2016,"53,985"
"Oklahoma",2016,"50,943"
"Oregon",2016,"59,135"
"Pennsylvania",2016,"60,979"
"Rhode Island",2016,"61,528"
"South Carolina",2016,"54,336"
"South Dakota",2016,"57,450"
"Tennessee",2016,"51,344"
"Texas",2016,"58,146"
"Utah",2016,"67,481"
"Vermont",2016,"60,837"
"Virginia",2016,"66,451"
"Washington",2016,"70,310"
"West Virginia",2016,"44,354"
"Wisconsin",2016,"59,817"
"Wyoming",2016,"57,829"
"United States",2015,"56,516"
"Alabama",2015,"44,509"
"Alaska",2015,"75,112"
"Arizona",2015,"52,248"
"Arkansas",2015,"42,798"
"California",2015,"63,636"
"Colorado",2015,"66,596"
"Connecticut",2015,"72,889"
"Delaware",2015,"57,756"
"District of Columbia",2015,"70,071"
"Florida",2015,"48,825"
"Georgia",2015,"50,768"
"Hawaii",2015,"64,514"
