STATE,YEAR,ENROLL,TOTAL_REVENUE,TOTAL_EXPENDITURE
Kentucky,1995,639992,3508673,3415870
Louisiana,1995,797061,3791795,3735603
Maine,1995,212154,1446745,1438795
Maryland,1995,790938,5580123,5610071
Massachusetts,1995,893727,7326904,6706082
Michigan,1995,1604527,12500208,12477806
Minnesota,1995,816695,5744447,6155324
Mississippi,1995,503301,2118973,2160068
Missouri,1995,862505,4852467,4957215
Montana,1995,164109,911284,899635
Nebraska,1995,285836,1832463,1874253
Nevada,1995,250749,1367710,1381200
New Hampshire,1995,186239,1197945,1232465
New Jersey,1995,1171658,11870183,11961696
New Mexico,1995,327253,1646265,1540683
New York,1995,2738361,25063999,26540967
North Carolina,1995,1155248,6076939,6217951
North Dakota,1995,119288,642234,621904
Ohio,1995,1829761,11368650,11330046
Oklahoma,1995,609743,3156526,3180275
Oregon,1995,519284,3302062,3255984
Pennsylvania,1995,1741698,13957035,14135826
Rhode Island,1995,146609,1089859,1056716
South Carolina,1995,638880,3389646,3286673
South Dakota,1995,135494,684882,693964
Tennessee,1995,870594,3870164,3958973
Texas,1995,3670007,20483376,20198924
Utah,1995,472589,1953833,2045331
Vermont,1995,100317,934916,891398
Virginia,1995,1060809,6354418,6590998
Washington,1995,938314,5985425,6200754
West Virginia,1995,310231,1916605,1925100
Wisconsin,1995,865374,6006745,6056854
Wyoming,1995,100314,634237,642935
Alabama,1996,735912,3365113,3572283
Alaska,1996,126189,1120346,1240031
Arizona,1996,764681,4143304,4391555
Arkansas,1996,452907,2183384,2297381
California,1996,5460484,31282981,31561692
Colorado,1996,655679,3891203,4075165
Connecticut,1996,499815,4686025,4538234
Delaware,1996,108461,860410,823530
District of Columbia,1996,79802,678874,703245
Florida,1996,2175352,13684457,13936240
Georgia,1996,1311126,7764687,7934236
Hawaii,1996,187104,1199019,1231550
Idaho,1996,243097,1134052,1198223
Illinois,1996,1924970,12732129,12423100
Indiana,1996,975455,6422662,6644035
Iowa,1996,502343,3258040,3284185
Kansas,1996,463008,2914544,3007653
Kentucky,1996,639531,3622788,3826435
Louisiana,1996,796087,3879633,3815375
Maine,1996,213601,1485138,1465093
Maryland,1996,805544,5688918,5825606
Massachusetts,1996,912330,7129757,7479576
Michigan,1996,1631131,13012080,13071893
Minnesota,1996,827418,6101416,6423285
Mississippi,1996,503602,2241561,2268726
Missouri,1996,873867,5251014,5277785
Montana,1996,165390,944623,924259
Nebraska,1996,289251,1909834,1940808
Nevada,1996,265041,1551169,1608989
New Hampshire,1996,191004,1269380,1295106
New Jersey,1996,1193928,12389781,12469216
New Mexico,1996,329661,1750519,1642517
New York,1996,2788343,26026366,26974514
North Carolina,1996,1181600,6516400,6517111
North Dakota,1996,119102,655971,657809
Ohio,1996,1837628,12172778,11935582
Oklahoma,1996,616436,3185234,3195426
Oregon,1996,527769,3375710,3509765
Pennsylvania,1996,1764117,14671368,15048791
Rhode Island,1996,148977,1135192,1092459
South Carolina,1996,635678,3594408,3493720
South Dakota,1996,136394,710728,689818
Tennessee,1996,881749,4123018,4284181
Texas,1996,3740260,22241369,22401797
Utah,1996,474907,2035726,2150719
Vermont,1996,101064,965238,975817
Virginia,1996,1079854,6674519,6903384
Washington,1996,956572,6354593,6578388
West Virginia,1996,306451,1958647,1936848
Wisconsin,1996,869930,6342623,6521058
Wyoming,1996,99859,664057,676305
Alabama,1997,737386,3981788,3963624
Alaska,1997,128143,1131950,1237103
Arizona,1997,783552,4343262,4432360
Arkansas,1997,457349,2355859,2379496
California,1997,5595836,35614934,33862281
Colorado,1997,672634,4133275,4398196
Connecticut,1997,507838,4788489,4642835
Delaware,1997,110245,898926,889631
District of Columbia,1997,78648,711625,686059
Florida,1997,2241298,14363709,14564750
Georgia,1997,1346761,8248199,8483477
Hawaii,1997,187653,1213792,1241375
Idaho,1997,245252,1200186,1293705
Illinois,1997,1952892,13929105,13920593
Indiana,1997,981546,7885141,7325086
Iowa,1997,502941,3406582,3485339
Kansas,1997,466368,3029537,2949608
Kentucky,1997,631592,3842885,3903139
Louisiana,1997,808798,4106095,4027228
Maine,1997,213241,1537085,1527663
Maryland,1997,818583,6040883,6217120
Massachusetts,1997,928519,7585624,7479407
Michigan,1997,1684261,13759710,14235902
Minnesota,1997,837847,6304977,6890773
