"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income"
1985,"ID","Idaho",1005000,2360,22,192,269,1877,36916,8917,26170,1829,"20,761"
1985,"IL","Illinois",11535000,82448,927,4529,33120,43872,530205,131015,331030,68160,"24,870"
1985,"IN","Indiana",5499000,17014,319,1318,5065,10312,198220,50295,129861,18064,"22,675"
1985,"KS","Kansas",2450000,8716,121,719,1929,5947,98474,25740,67433,5301,"22,788"
1985,"KY","Kentucky",3726000,11384,256,806,2821,7501,98428,28739,62491,7198,"17,361"
1985,"LA","Louisiana",4481000,31108,487,1782,8526,20313,218195,59326,141739,17130,"21,179"
1985,"MA","Massachusetts",5822000,31334,202,1734,10974,18424,245665,65231,130088,50346,"28,207"
1985,"MD","Maryland",4392000,36655,348,1700,13272,21335,199318,52995,126077,20246,"30,136"
1985,"ME","Maine",1164000,1950,28,167,284,1471,40789,10607,28260,1922,"20,519"
1985,"MI","Michigan",9088000,66714,1018,6140,26572,32984,511852,138792,297827,75233,"24,242"
1985,"MN","Minnesota",4193000,10751,88,1242,3598,5823,162597,42663,108954,10980,"23,856"
1985,"MO","Missouri",5029000,25321,409,1468,7425,16019,194247,55252,120650,18345,"21,939"
1985,"MT","Montana",826000,1722,48,159,173,1342,35855,6835,26746,2274,"20,236"
1985,"NC","North Carolina",6255000,26327,520,1488,4893,19426,231465,71985,147530,11950,"21,451"
1985,"ND","North Dakota",685000,322,7,50,44,221,18032,2925,14297,810,"21,205"
1985,"NE","Nebraska",1606000,3821,47,376,779,2619,55514,11730,41278,2506,"21,799"
1985,"NH","New Hampshire",998000,1405,21,191,266,927,31049,7608,21459,1982,"26,403"
1985,"NJ","New Jersey",7562000,41172,407,2424,19282,19059,344067,79923,213907,50237,"30,980"
1985,"NM","New Mexico",1450000,10207,158,722,2003,7324,83843,25432,53398,5013,"20,423"
1985,"NV","Nevada",936000,6244,96,564,2573,3011,55294,17312,33336,4646,"23,274"
1985,"NY","New York",17783000,165365,1683,5706,89706,68270,828446,219633,502276,106537,"23,639"
1985,"OH","Ohio",10744000,41000,554,3966,14301,22179,408882,104920,266066,37896,"25,174"
1985,"OK","Oklahoma",3301000,13930,254,1252,3526,8898,165150,53216,93233,18701,"21,205"
1985,"OR","Oregon",2687000,14807,125,1363,4986,8333,166023,50690,105725,9608,"21,894"
1985,"PA","Pennsylvania",11853000,39240,550,2886,17429,18375,320788,87417,194467,38904,"22,877"
1985,"RI","Rhode Island",968000,3355,35,253,1122,1945,42368,11929,24119,6320,"24,625"
1985,"SC","South Carolina",3347000,21121,304,1385,3143,16289,140892,41955,90260,8677,"20,036"
1985,"SD","South Dakota",708000,967,13,168,121,665,17730,3867,13142,721,"18,142"
1985,"TN","Tennessee",4762000,22592,429,2027,8614,11522,175827,55563,97159,23105,"17,778"
1985,"TX","Texas",16370000,90030,2132,8364,31680,47854,985265,289825,595912,99528,"23,743"
1985,"UT","Utah",1645000,4398,50,381,908,3059,83072,15511,63668,3893,"25,238"
1985,"VA","Virginia",5706000,16813,405,1551,5720,9137,198821,44797,142800,11224,"28,429"
1985,"VT","Vermont",535000,790,18,103,112,557,20011,5210,13924,877,"26,000"
1985,"WA","Washington",4409000,18757,231,2420,5821,10285,269099,79859,176501,12739,"24,000"
1985,"WI","Wisconsin",4775000,9880,135,875,3351,5519,181918,37987,133349,10582,"23,246"
1985,"WV","West Virginia",1936000,3214,73,359,728,2054,40401,11972,25191,3238,"15,983"
1985,"WY","Wyoming",509000,1307,22,114,102,1069,19130,3515,14732,883,"22,081"
1986,"USA","United States",240132887,1489169,20613,91459,542775,834322,11722700,3241410,7257153,1224137,"24,897"
1986,"AK","Alaska",534000,3046,46,388,470,2142,30307,6204,20879,3224,"31,356"
1986,"AL","Alabama",4053000,22616,409,1150,4523,16534,151191,46974,93396,10821,"19,132"
1986,"AR","Arkansas",2372000,9365,191,686,1890,6598,83729,24429,54677,4623,"18,730"
1986,"AZ","Arizona",3317000,21835,307,1425,5614,14489,221015,63278,143845,13892,"25,500"
1986,"CA","California",26981000,248370,3038,12119,92512,140701,1576299,457698,913004,205597,"29,010"
1986,"CO","Colorado",3267000,17105,230,1382,4731,10762,212626,58531,138219,15876,"27,192"
1986,"CT","Connecticut",3189000,13578,148,760,6129,6541,140411,38190,87963,14258,"32,721"
1986,"DC","District of Columbia",626000,9423,194,328,4720,4181,42781,10815,25861,6105,"24,322"
1986,"DE","Delaware",633000,2703,31,360,786,1526,27881,6598,19562,1721,"25,626"
1986,"FL","Florida",11675000,121013,1371,6152,42822,70668,839651,259331,510496,69824,"22,849"
1986,"GA","Georgia",6104000,35869,686,2678,13056,19449,297130,88695,182171,26264,"24,370"
1986,"HI","Hawaii",1062000,2604,51,329,1129,1095,57626,14218,39922,3486,"29,003"
1986,"IA","Iowa",2851000,6703,51,356,1197,5099,111633,27255,79864,4514,"22,459"
1986,"ID","Idaho",1003000,2232,32,201,214,1785,39964,10065,28081,1818,"20,749"
1986,"IL","Illinois",11533000,93454,1023,4765,37583,50083,548311,136306,339418,72587,"26,511"
1986,"IN","Indiana",5504000,16937,329,1424,4954,10230,195233,48802,128404,18027,"22,728"
1986,"KS","Kansas",2461000,9076,108,810,1958,6200,109607,29229,74029,6349,"23,926"
1986,"KY","Kentucky",3728000,12467,248,860,3076,8283,102810,30725,64882,7203,"19,874"
1986,"LA","Louisiana",4501000,34128,575,1806,10071,21676,239444,65751,153818,19875,"20,890"
1986,"MA","Massachusetts",5832000,32476,208,1731,11239,19298,242989,62455,127668,52866,"30,339"
1986,"MD","Maryland",4463000,37177,401,1944,13569,21263,212831,55593,132904,24334,"30,604"
1986,"ME","Maine",1174000,1726,23,174,328,1201,38909,9433,27548,1928,"23,424"
1986,"MI","Michigan",9145000,73517,1032,6167,27550,38768,520127,138040,308894,73193,"26,605"
1986,"MN","Minnesota",4214000,11991,105,1338,4299,6249,171832,42319,117371,12142,"26,443"
1986,"MO","Missouri",5066000,29310,464,1480,8624,18742,206463,57556,126674,22233,"21,925"
1986,"MT","Montana",819000,1289,24,142,160,963,35393,6491,27142,1760,"20,328"
1986,"NC","North Carolina",6331000,30128,515,1673,5551,22389,244121,77557,153378,13186,"21,861"
1986,"ND","North Dakota",679000,348,7,79,47,215,17343,2615,13914,814,"21,508"
1986,"NE","Nebraska",1598000,4196,50,393,817,2936,57418,11956,42784,2678,"21,772"
1986,"NH","New Hampshire",1027000,1433,23,221,242,947,32767,7754,22675,2338,"30,548"
1986,"NJ","New Jersey",7620000,43623,399,2531,20473,20220,355764,81595,215073,59096,"31,715"
1986,"NM","New Mexico",1479000,10731,170,693,1916,7952,87266,27283,54906,5077,"19,845"
1986,"NV","Nevada",963000,6923,121,625,2763,3414,53647,15446,33601,4600,"26,217"
1986,"NY","New York",17772000,175210,1907,5415,91360,76528,849827,217010,519570,113247,"25,025"
1986,"OH","Ohio",10752000,45260,595,4151,15283,25231,423387,106212,276779,40396,"25,115"
1986,"OK","Oklahoma",3305000,14423,269,1202,3521,9431,184342,59054,103832,21456,"20,948"
1986,"OR","Oregon",2698000,14830,178,1379,5555,7718,176207,53062,112312,10833,"24,773"
1986,"PA","Pennsylvania",11889000,42629,659,2984,18085,20901,326149,87362,196657,42130,"23,807"
