"year","state_abbr","state","population","violent_crime","homicide","rape_legacy","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","income","attainment rate"
2009,"CT","Connecticut",3518288,10588,106,657,4001,5824,82625,15172,59992,7461,"64,851",46.35168198
2009,"DC","District of Columbia",599657,8089,145,150,4404,3390,28495,3696,19267,5532,"53,141",53.61646485
2009,"DE","Delaware",885122,5713,41,395,1680,3597,29685,6943,20836,1906,"52,114",38.55481759
2009,"FL","Florida",18537969,113541,1017,5501,30911,76112,712010,181884,479867,50259,"45,631",36.39822582
2009,"GA","Georgia",9829211,42073,566,2323,14631,24553,360985,98606,229216,33163,"43,340",36.15208851
2009,"HI","Hawaii",1295178,3550,23,385,1030,2112,47516,9244,33415,4857,"55,649",42.88889369
2009,"IA","Iowa",3007856,8485,38,890,1201,6356,70080,16419,49757,3904,"50,721",40.10439718
2009,"ID","Idaho",1545801,3805,24,575,254,2952,31220,6682,23066,1472,"46,778",34.27474052
2009,"IL","Illinois",12910409,64185,773,3901,22923,36588,353347,77850,248821,26676,"52,870",41.40412255
2009,"IN","Indiana",6423113,21455,312,1621,7347,12175,199907,48880,137190,13837,"44,305",32.97842091
2009,"KS","Kansas",2818747,11460,125,1179,1786,8370,90930,19473,65499,5958,"44,717",39.97989792
2009,"KY","Kentucky",4314113,11000,184,1531,3642,5643,108914,29880,72938,6096,"42,664",30.44505004
2009,"LA","Louisiana",4492076,28878,529,1351,6150,20848,172619,46928,114102,11589,"45,433",28.09479525
2009,"MA","Massachusetts",6593587,30503,173,1734,7467,21129,153178,34515,106799,11864,"59,373",50.19783472
2009,"MD","Maryland",5699478,33625,440,1156,12007,20022,182295,36905,125771,19619,"64,186",44.39865014
2009,"ME","Maine",1318301,1580,26,375,399,780,31706,6729,23955,1022,"47,502",38.55963741
2009,"MI","Michigan",9969727,49825,623,4524,12427,32251,284019,76046,178628,29345,"45,994",35.76906542
2009,"MN","Minnesota",5266214,12874,74,1789,3619,7392,139286,25580,105160,8546,"56,090",45.22317912
2009,"MO","Missouri",5987580,29513,387,1606,7437,20083,201783,43591,140764,17428,"48,769",34.90915103
2009,"MS","Mississippi",2951996,8451,194,991,2969,4297,87327,29559,52329,5439,"35,078",28.86816442
2009,"MT","Montana",974989,2798,32,357,228,2181,24826,3686,19528,1612,"40,437",38.26286872
2009,"NC","North Carolina",9380884,37946,489,2306,11825,23326,343707,107830,215923,19954,"41,906",37.94052028
2009,"ND","North Dakota",646844,1723,12,296,107,1308,12813,2426,9474,913,"50,075",43.67134496
2009,"NE","Nebraska",1796619,5199,41,617,1220,3321,49731,8726,37496,3509,"49,595",41.22235929
2009,"NH","New Hampshire",1324575,2125,11,399,454,1261,28790,4915,22748,1127,"64,131",44.64006384
2009,"NJ","New Jersey",8707739,27113,319,1041,11639,14114,180752,36945,128303,15504,"64,777",44.5265434
2009,"NM","New Mexico",2009671,12709,198,1069,1932,9510,74639,21955,46182,6502,"43,542",33.88314905
2009,"NV","Nevada",2643085,18639,156,1024,6028,11431,80976,22115,46463,12398,"51,434",30.36806816
2009,"NY","New York",19541453,75110,781,2582,28141,43606,377537,62769,292897,21871,"50,216",44.578078
2009,"OH","Ohio",11542645,38305,527,4119,17670,15989,376446,104009,249777,22660,"45,879",34.72442687
2009,"OK","Oklahoma",3687050,18560,234,1535,3358,13433,132350,38071,83813,10466,"45,878",31.74231206
2009,"OR","Oregon",3825657,9968,88,1202,2499,6179,114780,19739,85064,9977,"49,098",39.75349373
2009,"PA","Pennsylvania",12604767,48188,664,3626,17504,26394,277182,54772,204588,17822,"48,172",37.82671043
2009,"RI","Rhode Island",1053209,2678,32,296,785,1565,27558,5753,19403,2402,"51,634",42.60395437
2009,"SC","South Carolina",4561242,30799,305,1663,5753,23078,178310,45443,119250,13617,"41,101",34.86215485
2009,"SD","South Dakota",812383,1777,30,501,117,1129,14378,2621,10891,866,"45,826",38.56171876
2009,"TN","Tennessee",6296254,41933,468,2019,9653,29793,237157,63832,158309,15016,"40,517",31.83829824
2009,"TX","Texas",24782302,121684,1330,8311,38022,74021,995082,240058,678455,76569,"47,475",33.19373497
2009,"UT","Utah",2784572,5998,39,941,1304,3714,91751,15258,69556,6937,"58,491",39.22891227
2009,"VA","Virginia",7882590,18195,370,1572,6342,9911,194020,31956,150374,11690,"60,501",43.36029379
2009,"VT","Vermont",621760,837,8,132,111,586,15010,3471,11090,449,"52,318",44.16014754
2009,"WA","Washington",6664195,22412,190,2583,6711,12928,245215,53047,168421,23747,"60,392",42.321208
2009,"WI","Wisconsin",5654774,14650,146,1118,4904,8482,147692,26813,111947,8932,"51,237",38.2111413
2009,"WV","West Virginia",1819777,5554,84,470,914,4086,46215,12005,31453,2757,"40,490",26.39663074
